event_id,machine_id,event_type,description,technician_id,start_time,end_time,duration_hours,root_cause,parts_replaced,cost
ME-00001,M005,corrective,Seal leak detected on M005,E025,2023-06-27T01:37:19,2023-06-27T12:36:07,10.98,Software fault,Motor brushes,6185.83
ME-00002,M021,preventive,Bearing wear detected on M021,E042,2024-06-07T05:11:53,2024-06-07T07:03:29,1.86,Operator error,Bearing assembly,11388.22
ME-00003,M038,preventive,Scheduled PM detected on M038,E007,2024-10-21T02:32:57,2024-10-21T03:52:45,1.33,Sensor drift,Seal kit,10351.0
ME-00004,M039,preventive,Seal leak detected on M039,E026,2024-08-17T15:44:44,2024-08-18T02:54:20,11.16,Bearing wear,Belt replacement,2513.59
ME-00005,M015,preventive,Scheduled PM detected on M015,E019,2023-10-31T22:37:46,2023-11-01T08:17:22,9.66,Overheating,Sensor replacement,10223.88
ME-00006,M047,corrective,Scheduled PM detected on M047,E010,2023-01-09T21:51:17,2023-01-10T04:43:29,6.87,Lubrication failure,Bearing assembly,274.44
ME-00007,M039,preventive,Sensor drift detected on M039,E014,2024-03-01T12:36:50,2024-03-02T00:00:14,11.39,Vibration misalignment,Lubricant replenishment,6307.29
ME-00008,M042,emergency,Electrical fault detected on M042,E040,2023-04-21T21:33:21,2023-04-21T23:54:21,2.35,Sensor drift,Lubricant replenishment,1896.41
ME-00009,M043,corrective,Scheduled PM detected on M043,E030,2024-10-24T05:06:45,2024-10-24T06:14:33,1.13,Scheduled PM,Bearing assembly,4501.66
ME-00010,M005,preventive,Software fault detected on M005,E022,2023-06-03T14:07:50,2023-06-03T22:58:14,8.84,Vibration misalignment,Lubricant replenishment,10135.17
ME-00011,M016,preventive,Electrical fault detected on M016,E021,2024-04-26T10:36:40,2024-04-26T11:54:40,1.3,Software fault,Belt replacement,5059.52
ME-00012,M043,preventive,Operator error detected on M043,E024,2024-03-29T23:43:00,2024-03-30T01:58:00,2.25,Vibration misalignment,Belt replacement,2695.86
ME-00013,M021,preventive,Seal leak detected on M021,E018,2023-06-22T07:32:18,2023-06-22T16:13:42,8.69,Vibration misalignment,Lubricant replenishment,10257.79
ME-00014,M022,emergency,Sensor drift detected on M022,E032,2023-12-26T18:07:08,2023-12-26T23:44:20,5.62,Scheduled PM,Bearing assembly,2801.4
ME-00015,M039,preventive,Overheating detected on M039,E035,2023-08-07T05:03:36,2023-08-07T15:26:24,10.38,Electrical fault,Sensor replacement,11056.46
ME-00016,M041,preventive,Scheduled PM detected on M041,E041,2023-02-28T19:33:25,2023-03-01T06:19:01,10.76,Bearing wear,Seal kit,8811.98
ME-00017,M026,corrective,Scheduled PM detected on M026,E017,2023-06-15T12:08:47,2023-06-15T23:03:59,10.92,Scheduled PM,Filter replacement,7187.14
ME-00018,M050,preventive,Operator error detected on M050,E047,2023-11-02T02:41:58,2023-11-02T05:46:10,3.07,Sensor drift,Lubricant replenishment,7077.58
ME-00019,M033,preventive,Electrical fault detected on M033,E040,2023-10-10T20:56:44,2023-10-11T03:12:56,6.27,Overheating,Seal kit,7809.22
ME-00020,M029,preventive,Overheating detected on M029,E048,2024-03-16T03:39:51,2024-03-16T15:04:27,11.41,Software fault,Sensor replacement,798.21
ME-00021,M049,preventive,Electrical fault detected on M049,E003,2023-02-19T01:49:01,2023-02-19T05:21:25,3.54,Electrical fault,Filter replacement,13634.35
ME-00022,M024,preventive,Bearing wear detected on M024,E003,2024-12-14T04:55:56,2024-12-14T10:39:44,5.73,Vibration misalignment,Bearing assembly,10615.3
ME-00023,M034,corrective,Sensor drift detected on M034,E038,2023-08-01T16:19:19,2023-08-02T02:25:19,10.1,Scheduled PM,Filter replacement,2772.98
ME-00024,M042,preventive,Lubrication failure detected on M042,E034,2024-04-01T17:07:38,2024-04-02T01:08:14,8.01,Sensor drift,Belt replacement,14595.58
ME-00025,M015,corrective,Vibration misalignment detected on M015,E032,2023-10-02T08:29:44,2023-10-02T18:23:44,9.9,Software fault,Filter replacement,297.65
ME-00026,M009,preventive,Sensor drift detected on M009,E014,2023-06-28T21:20:19,2023-06-28T22:43:43,1.39,Overheating,Lubricant replenishment,2528.89
ME-00027,M039,corrective,Seal leak detected on M039,E022,2023-04-03T03:50:06,2023-04-03T11:56:06,8.1,Lubrication failure,Belt replacement,10193.4
ME-00028,M031,preventive,Seal leak detected on M031,E002,2023-05-06T11:50:53,2023-05-06T19:47:17,7.94,Electrical fault,Bearing assembly,2092.7
ME-00029,M038,preventive,Operator error detected on M038,E010,2024-05-04T05:29:02,2024-05-04T11:53:02,6.4,Bearing wear,Lubricant replenishment,4022.24
ME-00030,M012,corrective,Operator error detected on M012,E041,2023-11-12T04:15:12,2023-11-12T11:38:36,7.39,Bearing wear,Motor brushes,10974.02
ME-00031,M019,emergency,Software fault detected on M019,E031,2023-06-18T11:35:38,2023-06-18T17:15:50,5.67,Overheating,Lubricant replenishment,12489.38
ME-00032,M039,preventive,Overheating detected on M039,E040,2024-03-28T19:18:40,2024-03-29T05:15:04,9.94,Scheduled PM,Sensor replacement,2682.28
ME-00033,M044,preventive,Lubrication failure detected on M044,E015,2023-12-19T11:17:46,2023-12-19T18:39:22,7.36,Seal leak,Belt replacement,2156.76
ME-00034,M002,preventive,Seal leak detected on M002,E010,2024-10-29T21:57:01,2024-10-30T08:54:37,10.96,Operator error,Bearing assembly,2825.85
