order_id,product_name,line_id,plant_id,quantity,start_date,end_date,status,priority
PO-00001,Engine Block,L001,P001,981,2023-09-28,2023-10-16,completed,high
PO-00002,Suspension Component,L005,P002,271,2024-08-21,2024-09-03,in_progress,normal
PO-00003,Engine Block,L006,P003,1351,2024-09-16,2024-09-24,planned,high
PO-00004,Engine Block,L005,P002,336,2024-10-26,2024-11-09,completed,low
PO-00005,Transmission Assembly,L008,P003,1867,2023-04-29,2023-05-03,completed,normal
PO-00006,Steering Column,L006,P003,908,2024-11-17,2024-12-11,in_progress,high
PO-00007,Exhaust System,L007,P003,1310,2024-11-01,2024-11-05,completed,critical
PO-00008,Exhaust System,L001,P001,960,2024-01-15,2024-01-22,cancelled,high
PO-00009,Suspension Component,L002,P001,174,2024-01-12,2024-01-30,completed,normal
PO-00010,Transmission Assembly,L002,P001,1364,2024-04-10,2024-04-13,in_progress,critical
PO-00011,Battery Module,L001,P001,1661,2023-12-08,2023-12-16,in_progress,low
PO-00012,Transmission Assembly,L004,P002,722,2024-08-23,2024-08-30,in_progress,high
PO-00013,Battery Module,L001,P001,316,2023-10-11,2023-11-08,completed,high
PO-00014,Vehicle Body Panel,L002,P001,319,2024-11-07,2024-12-05,completed,high
PO-00015,Vehicle Body Panel,L004,P002,406,2024-08-25,2024-09-05,completed,low
PO-00016,Engine Block,L007,P003,1025,2024-06-22,2024-06-26,completed,normal
PO-00017,Transmission Assembly,L002,P001,1986,2024-04-07,2024-04-24,in_progress,high
PO-00018,Vehicle Body Panel,L005,P002,174,2024-04-14,2024-05-05,cancelled,high
PO-00019,Exhaust System,L007,P003,200,2023-04-21,2023-05-07,planned,normal
PO-00020,Door Frame,L003,P001,1328,2023-03-09,2023-03-14,in_progress,normal
PO-00021,Steering Column,L006,P003,653,2024-01-26,2024-02-15,completed,normal
PO-00022,Steering Column,L002,P001,1526,2023-04-28,2023-05-26,planned,normal
PO-00023,Exhaust System,L004,P002,866,2024-02-28,2024-03-10,completed,low
PO-00024,Door Frame,L007,P003,816,2023-11-17,2023-12-09,cancelled,normal
PO-00025,Engine Block,L008,P003,240,2023-03-10,2023-03-13,completed,high
PO-00026,Vehicle Body Panel,L006,P003,1251,2023-05-14,2023-06-01,cancelled,normal
PO-00027,Brake Assembly,L002,P001,1827,2024-02-25,2024-03-08,planned,low
PO-00028,Suspension Component,L005,P002,262,2024-09-06,2024-09-16,in_progress,normal
PO-00029,Engine Block,L008,P003,767,2023-08-18,2023-09-15,planned,normal
PO-00030,Brake Assembly,L005,P002,1780,2024-08-10,2024-08-18,in_progress,high
PO-00031,Door Frame,L001,P001,109,2024-09-15,2024-10-15,completed,high
PO-00032,Vehicle Body Panel,L005,P002,421,2023-12-14,2023-12-26,planned,normal
PO-00033,Vehicle Body Panel,L007,P003,237,2023-03-13,2023-03-18,in_progress,normal
PO-00034,Battery Module,L007,P003,807,2024-04-09,2024-04-20,completed,normal
PO-00035,Battery Module,L002,P001,1595,2023-02-23,2023-02-28,in_progress,normal
PO-00036,Brake Assembly,L005,P002,1044,2024-03-29,2024-04-20,in_progress,normal
PO-00037,Suspension Component,L004,P002,930,2024-06-08,2024-06-12,completed,normal
PO-00038,Door Frame,L008,P003,143,2024-06-23,2024-07-15,completed,critical
PO-00039,Door Frame,L001,P001,1986,2023-01-08,2023-01-15,completed,low
PO-00040,Engine Block,L005,P002,65,2023-10-24,2023-11-04,completed,normal
PO-00041,Transmission Assembly,L003,P001,1074,2024-01-25,2024-02-12,in_progress,normal
PO-00042,Vehicle Body Panel,L006,P003,943,2023-03-15,2023-03-28,completed,high
PO-00043,Dashboard Assembly,L006,P003,878,2024-08-12,2024-08-26,in_progress,normal
PO-00044,Suspension Component,L002,P001,401,2024-02-19,2024-02-20,planned,normal
PO-00045,Engine Block,L006,P003,548,2023-04-01,2023-04-15,completed,normal
PO-00046,Door Frame,L002,P001,1577,2024-02-10,2024-03-09,completed,normal
PO-00047,Engine Block,L003,P001,1136,2023-03-20,2023-04-06,completed,high
PO-00048,Battery Module,L006,P003,533,2023-12-26,2024-01-19,completed,normal
PO-00049,Engine Block,L003,P001,412,2024-09-08,2024-09-13,cancelled,normal
PO-00050,Dashboard Assembly,L008,P003,969,2024-07-31,2024-08-25,in_progress,high
PO-00051,Battery Module,L006,P003,950,2024-10-04,2024-10-15,completed,normal
PO-00052,Vehicle Body Panel,L005,P002,770,2023-10-09,2023-10-28,completed,normal
PO-00053,Suspension Component,L008,P003,1753,2023-02-08,2023-02-10,completed,normal
PO-00054,Steering Column,L002,P001,837,2024-09-21,2024-10-11,completed,normal
PO-00055,Dashboard Assembly,L001,P001,1384,2024-04-05,2024-05-05,completed,normal
PO-00056,Engine Block,L003,P001,1710,2023-03-05,2023-03-20,planned,normal
PO-00057,Battery Module,L002,P001,130,2024-05-31,2024-06-21,completed,normal
PO-00058,Dashboard Assembly,L008,P003,375,2024-06-20,2024-07-07,completed,high
PO-00059,Suspension Component,L007,P003,1440,2024-02-23,2024-03-19,in_progress,high
PO-00060,Engine Block,L006,P003,1192,2023-03-09,2023-03-20,in_progress,normal
PO-00061,Dashboard Assembly,L003,P001,1409,2023-12-08,2023-12-11,completed,normal
PO-00062,Engine Block,L007,P003,684,2023-05-13,2023-06-02,in_progress,normal
PO-00063,Steering Column,L006,P003,241,2023-05-11,2023-06-02,in_progress,normal
PO-00064,Door Frame,L006,P003,419,2023-01-19,2023-01-31,cancelled,normal
PO-00065,Battery Module,L008,P003,367,2023-07-16,2023-07-24,completed,high
PO-00066,Steering Column,L002,P001,1760,2024-06-03,2024-06-28,in_progress,normal
PO-00067,Dashboard Assembly,L006,P003,821,2024-09-24,2024-09-29,completed,normal
PO-00068,Brake Assembly,L003,P001,796,2024-03-24,2024-03-26,in_progress,normal
PO-00069,Exhaust System,L008,P003,529,2024-09-17,2024-09-27,completed,normal
PO-00070,Dashboard Assembly,L008,P003,952,2023-07-18,2023-07-30,completed,normal
PO-00071,Brake Assembly,L007,P003,381,2024-05-29,2024-06-15,planned,high
PO-00072,Exhaust System,L003,P001,1840,2023-09-14,2023-09-16,completed,high
PO-00073,Battery Module,L002,P001,608,2023-10-19,2023-10-22,completed,normal
PO-00074,Transmission Assembly,L007,P003,1722,2023-04-04,2023-05-04,completed,normal
PO-00075,Brake Assembly,L001,P001,1078,2024-02-29,2024-03-02,completed,normal
PO-00076,Vehicle Body Panel,L002,P001,702,2024-01-19,2024-01-27,planned,high
PO-00077,Vehicle Body Panel,L006,P003,637,2023-05-30,2023-06-04,planned,normal
PO-00078,Dashboard Assembly,L003,P001,60,2024-04-25,2024-05-10,planned,low
PO-00079,Dashboard Assembly,L004,P002,1130,2023-06-03,2023-06-21,completed,high
PO-00080,Vehicle Body Panel,L004,P002,538,2023-11-05,2023-11-09,completed,high
PO-00081,Exhaust System,L008,P003,1272,2023-03-06,2023-03-10,completed,normal
PO-00082,Brake Assembly,L004,P002,53,2023-05-28,2023-06-07,in_progress,normal
PO-00083,Engine Block,L007,P003,1122,2023-07-11,2023-08-02,cancelled,low
PO-00084,Exhaust System,L001,P001,139,2024-02-04,2024-03-03,in_progress,critical
PO-00085,Engine Block,L005,P002,756,2023-01-17,2023-01-29,completed,normal
PO-00086,Suspension Component,L002,P001,323,2024-08-18,2024-09-11,completed,normal
PO-00087,Exhaust System,L003,P001,1343,2024-04-20,2024-05-13,completed,low
PO-00088,Transmission Assembly,L008,P003,139,2023-02-07,2023-02-17,in_progress,high
PO-00089,Brake Assembly,L006,P003,1719,2023-11-14,2023-12-01,completed,normal
PO-00090,Vehicle Body Panel,L004,P002,1823,2023-10-20,2023-11-01,in_progress,normal
PO-00091,Brake Assembly,L006,P003,1572,2024-03-23,2024-04-21,completed,critical
PO-00092,Exhaust System,L006,P003,802,2023-07-11,2023-07-27,planned,normal
PO-00093,Brake Assembly,L002,P001,1283,2024-03-10,2024-03-13,cancelled,normal
PO-00094,Engine Block,L005,P002,721,2023-11-25,2023-11-29,in_progress,normal
PO-00095,Exhaust System,L007,P003,769,2023-06-20,2023-07-13,completed,high
PO-00096,Door Frame,L006,P003,1359,2024-09-21,2024-10-05,cancelled,high
PO-00097,Brake Assembly,L002,P001,794,2024-11-18,2024-12-09,completed,high
PO-00098,Dashboard Assembly,L003,P001,1438,2023-02-01,2023-02-06,in_progress,low
PO-00099,Suspension Component,L002,P001,791,2023-08-30,2023-09-24,completed,normal
PO-00100,Suspension Component,L003,P001,811,2024-11-26,2024-12-11,completed,low
PO-00101,Brake Assembly,L003,P001,693,2024-06-26,2024-07-08,in_progress,normal
PO-00102,Battery Module,L002,P001,1072,2023-01-27,2023-02-20,completed,high
PO-00103,Door Frame,L002,P001,1491,2023-09-26,2023-10-21,completed,critical
PO-00104,Engine Block,L005,P002,327,2024-05-17,2024-05-24,planned,normal
PO-00105,Suspension Component,L008,P003,1417,2023-03-31,2023-04-26,completed,low
PO-00106,Battery Module,L005,P002,1507,2023-11-04,2023-12-02,in_progress,high
PO-00107,Transmission Assembly,L003,P001,298,2024-01-06,2024-01-23,cancelled,high
PO-00108,Suspension Component,L004,P002,1184,2024-05-20,2024-05-21,in_progress,normal
PO-00109,Engine Block,L003,P001,184,2024-09-18,2024-10-17,completed,critical
PO-00110,Brake Assembly,L008,P003,1736,2024-06-22,2024-07-06,in_progress,low
PO-00111,Exhaust System,L006,P003,1004,2024-10-19,2024-10-22,in_progress,normal
PO-00112,Steering Column,L003,P001,1915,2023-05-13,2023-05-27,planned,high
PO-00113,Battery Module,L003,P001,710,2023-11-08,2023-11-14,planned,normal
PO-00114,Transmission Assembly,L005,P002,1350,2023-03-22,2023-03-31,cancelled,normal
PO-00115,Engine Block,L005,P002,1079,2024-09-21,2024-10-09,in_progress,normal
PO-00116,Dashboard Assembly,L003,P001,1525,2023-06-25,2023-07-17,planned,normal
PO-00117,Vehicle Body Panel,L001,P001,1992,2023-01-30,2023-02-02,in_progress,normal
PO-00118,Dashboard Assembly,L004,P002,1358,2024-08-08,2024-08-22,completed,high
PO-00119,Exhaust System,L005,P002,551,2024-10-19,2024-10-29,planned,normal
PO-00120,Vehicle Body Panel,L005,P002,373,2024-04-09,2024-04-12,completed,normal
PO-00121,Battery Module,L004,P002,690,2023-12-15,2024-01-04,planned,normal
PO-00122,Suspension Component,L006,P003,1104,2024-02-13,2024-02-18,in_progress,normal
PO-00123,Exhaust System,L008,P003,557,2023-05-06,2023-05-15,completed,low
PO-00124,Transmission Assembly,L007,P003,1822,2024-09-22,2024-10-06,planned,high
PO-00125,Battery Module,L006,P003,1070,2023-07-14,2023-08-08,cancelled,normal
PO-00126,Engine Block,L005,P002,1985,2024-05-24,2024-05-25,completed,normal
PO-00127,Suspension Component,L004,P002,149,2023-08-09,2023-08-28,completed,normal
PO-00128,Vehicle Body Panel,L008,P003,1785,2023-10-20,2023-11-07,completed,low
PO-00129,Brake Assembly,L005,P002,799,2024-01-10,2024-02-04,completed,low
PO-00130,Door Frame,L004,P002,200,2024-01-07,2024-01-25,completed,normal
PO-00131,Dashboard Assembly,L005,P002,293,2024-09-30,2024-10-22,completed,low
PO-00132,Suspension Component,L006,P003,1596,2023-12-14,2024-01-01,completed,normal
PO-00133,Vehicle Body Panel,L007,P003,129,2024-05-27,2024-05-29,completed,normal
PO-00134,Battery Module,L008,P003,1291,2024-06-15,2024-06-30,planned,low
PO-00135,Dashboard Assembly,L006,P003,1564,2023-06-16,2023-06-29,planned,normal
PO-00136,Exhaust System,L008,P003,1720,2024-07-30,2024-08-09,completed,normal
PO-00137,Door Frame,L002,P001,1681,2024-03-02,2024-03-21,planned,high
PO-00138,Door Frame,L001,P001,1392,2024-09-03,2024-09-19,in_progress,high
PO-00139,Exhaust System,L004,P002,399,2023-02-22,2023-03-13,completed,high
PO-00140,Transmission Assembly,L007,P003,114,2023-06-01,2023-06-28,in_progress,high
PO-00141,Suspension Component,L004,P002,907,2023-01-20,2023-02-04,completed,normal
PO-00142,Dashboard Assembly,L007,P003,1935,2024-05-28,2024-06-22,completed,high
PO-00143,Transmission Assembly,L001,P001,1198,2023-05-22,2023-06-08,completed,normal
PO-00144,Exhaust System,L007,P003,1918,2023-11-18,2023-11-24,completed,normal
PO-00145,Transmission Assembly,L005,P002,554,2024-09-16,2024-10-02,completed,normal
PO-00146,Transmission Assembly,L005,P002,1463,2023-10-23,2023-11-15,in_progress,normal
PO-00147,Door Frame,L006,P003,639,2024-07-27,2024-08-26,completed,normal
PO-00148,Suspension Component,L007,P003,1633,2024-02-09,2024-03-07,planned,normal
PO-00149,Exhaust System,L005,P002,1393,2023-03-22,2023-04-03,completed,normal
PO-00150,Steering Column,L004,P002,1475,2024-07-05,2024-07-14,completed,low
PO-00151,Steering Column,L004,P002,512,2023-09-06,2023-09-08,in_progress,low
PO-00152,Exhaust System,L007,P003,255,2023-12-05,2023-12-28,in_progress,low
PO-00153,Exhaust System,L003,P001,1027,2024-02-21,2024-03-13,in_progress,high
PO-00154,Vehicle Body Panel,L005,P002,1909,2023-11-25,2023-12-05,in_progress,normal
PO-00155,Vehicle Body Panel,L004,P002,1920,2024-07-01,2024-07-25,planned,normal
PO-00156,Brake Assembly,L003,P001,1663,2023-02-07,2023-03-06,completed,high
PO-00157,Door Frame,L005,P002,1213,2023-02-08,2023-02-09,in_progress,high
PO-00158,Steering Column,L006,P003,1123,2023-10-19,2023-11-03,completed,high
PO-00159,Engine Block,L008,P003,727,2023-10-07,2023-10-14,completed,normal
PO-00160,Suspension Component,L005,P002,1669,2023-07-10,2023-07-11,completed,normal
PO-00161,Brake Assembly,L004,P002,1743,2023-06-29,2023-07-19,completed,normal
PO-00162,Battery Module,L007,P003,337,2024-11-16,2024-11-20,completed,high
PO-00163,Transmission Assembly,L001,P001,964,2023-09-25,2023-10-08,in_progress,critical
PO-00164,Dashboard Assembly,L005,P002,73,2024-08-19,2024-09-12,completed,normal
PO-00165,Engine Block,L004,P002,1003,2023-03-05,2023-03-27,completed,normal
