quality_id,order_id,machine_id,inspector_id,inspection_type,result,defect_type,defect_count,notes,inspection_time
QE-00001,PO-00359,M029,E090,final,pass,none,0,,2023-09-01T00:18:57
QE-00002,PO-00102,M046,E095,incoming,fail,welding-defect,15,By first avoid letter military campaign stop necessary.,2024-03-17T08:21:35
QE-00003,PO-00417,M045,E085,incoming,fail,surface-finish,15,Consider whom item treat area buy check clearly follow remember generation wait thus suffer economy play.,2023-08-30T10:07:13
QE-00004,PO-00239,M031,E078,in-process,pass,none,0,,2023-04-22T23:09:58
QE-00005,PO-00468,M024,E083,in-process,pass,none,0,,2024-06-27T17:45:42
QE-00006,PO-00441,M021,E085,supplier-audit,pass,none,0,,2023-01-24T20:09:51
QE-00007,PO-00058,M023,E086,supplier-audit,fail,dimensional,6,Ever person pass behavior political option oil commercial person top front under American tell ball.,2023-08-08T13:39:31
QE-00008,PO-00066,M033,E074,supplier-audit,pass,none,0,,2024-09-27T08:17:25
QE-00009,PO-00285,M042,E073,final,pass,none,0,,2024-02-19T03:05:49
QE-00010,PO-00303,M027,E078,in-process,fail,coating-failure,18,Enough decision occur peace air threat nation politics few each southern image law read citizen.,2023-05-04T20:21:10
QE-00011,PO-00175,M014,E097,supplier-audit,pass,none,0,,2024-09-01T12:40:19
QE-00012,PO-00176,M035,E093,in-process,pass,none,0,,2023-05-15T18:32:48
QE-00013,PO-00477,M046,E089,supplier-audit,pass,none,0,,2023-03-31T03:07:57
QE-00014,PO-00285,M007,E097,supplier-audit,pass,none,0,,2023-05-18T04:07:17
QE-00015,PO-00208,M005,E090,incoming,fail,welding-defect,20,Machine daughter parent fine responsibility safe team wish candidate have no five letter.,2024-08-22T10:52:57
QE-00016,PO-00331,M043,E072,incoming,pass,none,0,,2023-06-19T08:34:38
QE-00017,PO-00463,M049,E091,incoming,pass,none,0,,2024-08-11T08:57:05
QE-00018,PO-00077,M029,E088,final,fail,surface-finish,13,Last cell anything war ten industry while total spend value return.,2024-04-23T11:05:48
QE-00019,PO-00349,M021,E080,final,pass,none,0,,2024-12-14T18:06:40
QE-00020,PO-00469,M023,E073,incoming,pass,none,0,,2024-04-20T07:00:49
QE-00021,PO-00066,M019,E072,final,pass,none,0,,2024-12-01T05:16:06
QE-00022,PO-00028,M001,E093,final,fail,functional-test-fail,4,Several marriage method material final age war measure whom Democrat.,2024-10-31T06:49:24
QE-00023,PO-00016,M016,E084,supplier-audit,fail,welding-defect,11,Any example our successful pull experience account blue care enough hand idea.,2024-07-07T04:25:21
QE-00024,PO-00196,M028,E088,in-process,fail,welding-defect,6,Hundred now crime network available mean share.,2024-01-05T04:14:41
QE-00025,PO-00285,M025,E097,final,fail,surface-finish,14,Stay perhaps particularly campaign benefit health would newspaper hand certain own.,2023-05-01T03:45:02
QE-00026,PO-00447,M043,E075,in-process,fail,welding-defect,1,Matter and case four listen lead paper middle foreign party class wrong school.,2023-02-26T01:26:32
QE-00027,PO-00454,M032,E092,supplier-audit,pass,none,0,,2023-04-16T19:02:36
QE-00028,PO-00329,M027,E098,supplier-audit,fail,dimensional,20,Order medical meeting majority none little admit former body indicate film.,2024-12-23T22:15:15
QE-00029,PO-00093,M030,E087,supplier-audit,fail,coating-failure,18,Ago listen whose situation simply officer return on color pick people subject challenge quite all way.,2024-09-29T07:14:21
QE-00030,PO-00182,M015,E076,supplier-audit,fail,coating-failure,20,Course kid industry include data maybe particularly likely.,2023-01-07T02:30:18
QE-00031,PO-00122,M046,E087,final,pass,none,0,,2023-11-16T10:34:18
