sensor_id,machine_id,sensor_type,unit,min_threshold,max_threshold,location_tag,status
SN001,M001,temperature,°C,20.0,85.0,coolant_port,active
SN002,M002,humidity,%,20.0,90.0,spindle,active
SN003,M003,speed,RPM,0.0,3000.0,bearing_rear,faulty
SN004,M004,temperature,°C,20.0,85.0,coolant_port,active
SN005,M005,current,A,0.0,50.0,gearbox,active
SN006,M006,speed,RPM,0.0,3000.0,spindle,active
SN007,M007,current,A,0.0,50.0,spindle,active
SN008,M008,speed,RPM,0.0,3000.0,coolant_port,active
SN009,M009,speed,RPM,0.0,3000.0,coolant_port,active
SN010,M010,humidity,%,20.0,90.0,coolant_port,active
SN011,M011,vibration,mm/s,0.0,12.0,gearbox,active
SN012,M012,speed,RPM,0.0,3000.0,coolant_port,active
SN013,M013,pressure,bar,1.0,10.0,coolant_port,active
SN014,M014,pressure,bar,1.0,10.0,bearing_rear,active
SN015,M015,pressure,bar,1.0,10.0,spindle,active
SN016,M016,vibration,mm/s,0.0,12.0,bearing_rear,active
SN017,M017,vibration,mm/s,0.0,12.0,gearbox,active
SN018,M018,current,A,0.0,50.0,coolant_port,active
SN019,M019,current,A,0.0,50.0,coolant_port,active
SN020,M020,current,A,0.0,50.0,coolant_port,faulty
SN021,M021,speed,RPM,0.0,3000.0,gearbox,active
SN022,M022,speed,RPM,0.0,3000.0,coolant_port,active
SN023,M023,pressure,bar,1.0,10.0,motor_housing,active
SN024,M024,current,A,0.0,50.0,spindle,active
SN025,M025,speed,RPM,0.0,3000.0,spindle,active
SN026,M026,current,A,0.0,50.0,bearing_rear,active
SN027,M027,current,A,0.0,50.0,bearing_front,active
SN028,M028,humidity,%,20.0,90.0,gearbox,active
SN029,M029,humidity,%,20.0,90.0,bearing_rear,active
SN030,M030,vibration,mm/s,0.0,12.0,spindle,active
SN031,M031,current,A,0.0,50.0,spindle,active
SN032,M032,temperature,°C,20.0,85.0,bearing_front,active
SN033,M033,vibration,mm/s,0.0,12.0,coolant_port,active
SN034,M034,pressure,bar,1.0,10.0,coolant_port,active
SN035,M035,current,A,0.0,50.0,motor_housing,active
SN036,M036,current,A,0.0,50.0,motor_housing,active
SN037,M037,current,A,0.0,50.0,motor_housing,active
SN038,M038,current,A,0.0,50.0,bearing_front,active
SN039,M039,temperature,°C,20.0,85.0,motor_housing,active
SN040,M040,temperature,°C,20.0,85.0,gearbox,active
SN041,M041,temperature,°C,20.0,85.0,bearing_rear,active
SN042,M042,temperature,°C,20.0,85.0,spindle,active
SN043,M043,vibration,mm/s,0.0,12.0,coolant_port,active
SN044,M044,speed,RPM,0.0,3000.0,bearing_rear,active
SN045,M045,pressure,bar,1.0,10.0,motor_housing,active
SN046,M046,speed,RPM,0.0,3000.0,gearbox,active
SN047,M047,vibration,mm/s,0.0,12.0,motor_housing,active
SN048,M048,temperature,°C,20.0,85.0,motor_housing,active
SN049,M049,current,A,0.0,50.0,coolant_port,faulty
SN050,M050,vibration,mm/s,0.0,12.0,bearing_front,active
SN051,M001,humidity,%,20.0,90.0,bearing_rear,active
SN052,M002,pressure,bar,1.0,10.0,gearbox,active
SN053,M003,temperature,°C,20.0,85.0,spindle,active
SN054,M004,pressure,bar,1.0,10.0,spindle,active
SN055,M005,pressure,bar,1.0,10.0,bearing_front,active
SN056,M006,pressure,bar,1.0,10.0,bearing_front,active
SN057,M007,current,A,0.0,50.0,bearing_front,active
SN058,M008,pressure,bar,1.0,10.0,gearbox,active
SN059,M009,current,A,0.0,50.0,gearbox,active
SN060,M010,vibration,mm/s,0.0,12.0,gearbox,active
SN061,M011,humidity,%,20.0,90.0,motor_housing,active
SN062,M012,speed,RPM,0.0,3000.0,coolant_port,active
SN063,M013,humidity,%,20.0,90.0,spindle,active
SN064,M014,vibration,mm/s,0.0,12.0,bearing_front,active
SN065,M015,current,A,0.0,50.0,bearing_rear,active
SN066,M016,speed,RPM,0.0,3000.0,spindle,active
SN067,M017,pressure,bar,1.0,10.0,bearing_front,active
SN068,M018,pressure,bar,1.0,10.0,bearing_rear,active
SN069,M019,pressure,bar,1.0,10.0,motor_housing,active
SN070,M020,speed,RPM,0.0,3000.0,gearbox,active
SN071,M021,speed,RPM,0.0,3000.0,bearing_front,active
SN072,M022,vibration,mm/s,0.0,12.0,bearing_front,active
SN073,M023,current,A,0.0,50.0,coolant_port,active
SN074,M024,vibration,mm/s,0.0,12.0,gearbox,active
SN075,M025,humidity,%,20.0,90.0,coolant_port,active
SN076,M026,temperature,°C,20.0,85.0,bearing_front,active
SN077,M027,current,A,0.0,50.0,gearbox,active
SN078,M028,humidity,%,20.0,90.0,spindle,active
SN079,M029,speed,RPM,0.0,3000.0,spindle,active
SN080,M030,humidity,%,20.0,90.0,spindle,active
SN081,M031,humidity,%,20.0,90.0,coolant_port,active
SN082,M032,pressure,bar,1.0,10.0,bearing_rear,active
SN083,M033,vibration,mm/s,0.0,12.0,motor_housing,active
SN084,M034,speed,RPM,0.0,3000.0,gearbox,active
SN085,M035,vibration,mm/s,0.0,12.0,gearbox,active
SN086,M036,humidity,%,20.0,90.0,spindle,calibrating
SN087,M037,speed,RPM,0.0,3000.0,spindle,active
SN088,M038,temperature,°C,20.0,85.0,bearing_rear,active
SN089,M039,pressure,bar,1.0,10.0,bearing_rear,active
SN090,M040,humidity,%,20.0,90.0,spindle,active
SN091,M041,temperature,°C,20.0,85.0,bearing_front,active
SN092,M042,humidity,%,20.0,90.0,bearing_rear,active
SN093,M043,current,A,0.0,50.0,bearing_front,active
SN094,M044,speed,RPM,0.0,3000.0,motor_housing,active
SN095,M045,current,A,0.0,50.0,motor_housing,active
SN096,M046,temperature,°C,20.0,85.0,motor_housing,faulty
SN097,M047,current,A,0.0,50.0,bearing_front,active
SN098,M048,current,A,0.0,50.0,coolant_port,active
SN099,M049,humidity,%,20.0,90.0,gearbox,active
SN100,M050,vibration,mm/s,0.0,12.0,spindle,faulty
SN101,M001,temperature,°C,20.0,85.0,bearing_rear,active
SN102,M002,current,A,0.0,50.0,spindle,active
SN103,M003,speed,RPM,0.0,3000.0,bearing_rear,active
SN104,M004,current,A,0.0,50.0,coolant_port,faulty
SN105,M005,pressure,bar,1.0,10.0,spindle,calibrating
SN106,M006,pressure,bar,1.0,10.0,spindle,active
SN107,M007,speed,RPM,0.0,3000.0,gearbox,active
SN108,M008,vibration,mm/s,0.0,12.0,gearbox,active
SN109,M009,humidity,%,20.0,90.0,bearing_front,active
SN110,M010,vibration,mm/s,0.0,12.0,spindle,active
SN111,M011,temperature,°C,20.0,85.0,coolant_port,active
SN112,M012,speed,RPM,0.0,3000.0,coolant_port,active
SN113,M013,vibration,mm/s,0.0,12.0,motor_housing,active
SN114,M014,humidity,%,20.0,90.0,coolant_port,active
SN115,M015,vibration,mm/s,0.0,12.0,motor_housing,active
SN116,M016,humidity,%,20.0,90.0,spindle,active
SN117,M017,vibration,mm/s,0.0,12.0,coolant_port,active
SN118,M018,vibration,mm/s,0.0,12.0,gearbox,active
SN119,M019,pressure,bar,1.0,10.0,bearing_rear,active
SN120,M020,vibration,mm/s,0.0,12.0,motor_housing,active
SN121,M021,speed,RPM,0.0,3000.0,motor_housing,active
SN122,M022,current,A,0.0,50.0,gearbox,active
SN123,M023,current,A,0.0,50.0,motor_housing,active
SN124,M024,current,A,0.0,50.0,coolant_port,active
SN125,M025,temperature,°C,20.0,85.0,coolant_port,active
SN126,M026,speed,RPM,0.0,3000.0,motor_housing,active
SN127,M027,vibration,mm/s,0.0,12.0,gearbox,active
SN128,M028,speed,RPM,0.0,3000.0,spindle,calibrating
SN129,M029,humidity,%,20.0,90.0,motor_housing,active
SN130,M030,vibration,mm/s,0.0,12.0,coolant_port,active
SN131,M031,current,A,0.0,50.0,motor_housing,active
SN132,M032,speed,RPM,0.0,3000.0,coolant_port,active
SN133,M033,current,A,0.0,50.0,bearing_front,active
SN134,M034,current,A,0.0,50.0,motor_housing,active
SN135,M035,temperature,°C,20.0,85.0,bearing_rear,active
SN136,M036,humidity,%,20.0,90.0,coolant_port,active
SN137,M037,current,A,0.0,50.0,spindle,active
SN138,M038,temperature,°C,20.0,85.0,motor_housing,active
SN139,M039,temperature,°C,20.0,85.0,coolant_port,active
SN140,M040,temperature,°C,20.0,85.0,gearbox,active
SN141,M041,current,A,0.0,50.0,coolant_port,active
SN142,M042,speed,RPM,0.0,3000.0,motor_housing,active
SN143,M043,current,A,0.0,50.0,gearbox,active
SN144,M044,temperature,°C,20.0,85.0,bearing_rear,active
SN145,M045,vibration,mm/s,0.0,12.0,motor_housing,active
SN146,M046,humidity,%,20.0,90.0,coolant_port,active
SN147,M047,humidity,%,20.0,90.0,spindle,active
SN148,M048,humidity,%,20.0,90.0,bearing_rear,active
SN149,M049,temperature,°C,20.0,85.0,spindle,active
SN150,M050,vibration,mm/s,0.0,12.0,bearing_front,active
