sensor_id,machine_id,value,unit,is_anomaly,threshold_exceeded,recorded_at
SN123,M023,6.6226,A,False,False,2024-08-01T23:19:09
SN030,M030,4.5786,mm/s,False,False,2024-11-22T13:32:27
SN057,M007,4.3929,A,False,False,2024-01-22T08:57:02
SN050,M050,2.5324,mm/s,False,False,2024-12-29T09:01:50
SN072,M022,0.9529,mm/s,False,False,2024-11-25T21:27:38
SN115,M015,10.9169,mm/s,False,False,2024-07-17T18:12:19
SN101,M001,39.3038,°C,False,False,2024-08-22T23:44:02
SN131,M031,43.1512,A,False,False,2024-05-20T05:22:06
SN102,M002,40.5557,A,False,False,2024-05-23T13:12:03
SN099,M049,38.6446,%,False,False,2024-05-16T10:51:58
SN079,M029,2491.7599,RPM,False,False,2024-02-04T00:28:42
SN056,M006,4.7759,bar,False,False,2024-06-10T09:45:49
SN114,M014,72.7716,%,False,False,2024-12-14T15:23:25
SN109,M009,47.1297,%,False,False,2024-11-20T11:31:54
SN023,M023,3.5775,bar,False,False,2024-12-02T21:55:36
SN135,M035,24.0165,°C,False,False,2024-08-17T09:31:34
SN097,M047,19.4494,A,False,False,2024-12-21T02:55:24
SN070,M020,1584.0695,RPM,False,False,2024-10-02T19:58:54
SN146,M046,28.9687,%,False,False,2024-03-13T05:42:19
SN098,M048,23.3028,A,False,False,2024-11-15T13:02:40
SN078,M028,39.9064,%,False,False,2024-08-05T04:52:38
SN119,M019,7.7254,bar,False,False,2024-02-29T19:36:26
SN068,M018,6.4447,bar,False,False,2024-09-04T05:10:37
SN121,M021,1897.8534,RPM,False,False,2024-04-21T17:27:22
SN107,M007,2584.3606,RPM,False,False,2024-09-07T09:50:22
SN063,M013,107.6297,%,True,True,2024-07-10T11:33:40
SN018,M018,17.1836,A,False,False,2024-07-05T14:27:11
SN145,M045,2.9402,mm/s,False,False,2024-09-23T09:10:15
SN122,M022,38.8683,A,False,False,2024-05-24T22:29:48
SN132,M032,50.0035,RPM,False,False,2024-04-10T19:03:42
SN042,M042,28.8778,°C,False,False,2024-06-28T01:14:28
SN035,M035,2.5122,A,False,False,2024-05-20T06:17:14
SN108,M008,10.8888,mm/s,False,False,2024-01-19T22:03:20
SN075,M025,61.851,%,False,False,2024-01-30T20:04:35
SN132,M032,1789.8854,RPM,False,False,2024-10-23T23:25:17
SN025,M025,476.3374,RPM,False,False,2024-05-05T06:54:49
SN081,M031,64.8653,%,False,False,2024-04-26T22:11:50
SN070,M020,1961.7879,RPM,False,False,2024-02-07T05:13:55
SN137,M037,39.1075,A,False,False,2024-01-06T00:12:53
SN036,M036,17.7182,A,False,False,2024-07-07T07:35:11
SN106,M006,8.7417,bar,False,False,2024-02-09T18:36:13
SN056,M006,2.8795,bar,False,False,2024-03-14T04:10:18
SN144,M044,70.5085,°C,False,False,2024-07-23T03:26:21
SN137,M037,33.3576,A,False,False,2024-11-07T16:35:25
SN030,M030,10.4428,mm/s,False,False,2024-02-15T06:28:14
SN034,M034,5.0759,bar,False,False,2024-05-01T00:04:30
SN093,M043,20.9921,A,False,False,2024-08-20T02:29:20
SN134,M034,16.2471,A,False,False,2024-10-02T16:41:59
SN078,M028,108.6617,%,True,True,2024-03-27T08:31:31
SN033,M033,1.6229,mm/s,False,False,2024-03-28T23:49:36
SN079,M029,371.122,RPM,False,False,2024-01-31T12:39:04
SN109,M009,71.3539,%,False,False,2024-01-31T04:32:43
SN005,M005,35.9734,A,False,False,2024-01-17T12:17:11
SN051,M001,71.9451,%,False,False,2024-07-18T09:58:22
SN016,M016,10.3572,mm/s,False,False,2024-01-17T19:24:46
SN017,M017,0.1171,mm/s,False,False,2024-02-07T11:28:43
SN032,M032,32.4781,°C,False,False,2024-12-15T23:33:30
SN052,M002,3.988,bar,False,False,2024-02-05T06:07:28
SN038,M038,44.7376,A,False,False,2024-08-13T03:40:27
SN090,M040,76.0115,%,False,False,2024-10-30T05:36:12
SN062,M012,194.7606,RPM,False,False,2024-11-14T07:05:59
SN149,M049,52.127,°C,False,False,2024-10-04T23:50:52
SN050,M050,1.9582,mm/s,False,False,2024-10-19T19:57:21
SN138,M038,100.8806,°C,True,True,2024-12-24T22:28:03
SN055,M005,8.236,bar,False,False,2024-07-03T08:40:09
SN094,M044,527.6085,RPM,False,False,2024-09-18T13:42:52
SN028,M028,43.2409,%,False,False,2024-05-27T10:16:07
SN109,M009,34.9048,%,False,False,2024-02-13T19:47:45
SN081,M031,27.2257,%,False,False,2024-02-22T18:47:42
SN127,M027,8.0339,mm/s,False,False,2024-08-04T08:50:51
SN011,M011,5.6283,mm/s,False,False,2024-05-29T10:25:11
SN073,M023,34.9683,A,False,False,2024-09-23T19:44:16
SN114,M014,46.677,%,False,False,2024-11-28T04:35:09
SN110,M010,0.7935,mm/s,False,False,2024-11-22T15:13:52
SN122,M022,17.4535,A,False,False,2024-01-05T23:10:21
SN126,M026,1129.6538,RPM,False,False,2024-07-21T23:33:59
SN022,M022,1125.2127,RPM,False,False,2024-09-26T22:12:55
SN027,M027,42.3903,A,False,False,2024-03-06T12:36:51
SN017,M017,2.2696,mm/s,False,False,2024-03-18T18:35:27
SN104,M004,39.8102,A,False,False,2024-10-08T15:21:30
SN128,M028,2033.4574,RPM,False,False,2024-08-13T23:52:28
SN070,M020,2282.8051,RPM,False,False,2024-06-04T10:27:55
SN092,M042,59.5073,%,False,False,2024-06-06T01:41:15
SN125,M025,28.953,°C,False,False,2024-06-25T13:30:10
SN028,M028,52.0519,%,False,False,2024-03-30T15:24:54
SN035,M035,59.4847,A,True,True,2024-11-18T11:04:23
SN018,M018,1.2706,A,False,False,2024-03-10T13:17:34
SN098,M048,15.5304,A,False,False,2024-04-27T13:51:31
SN025,M025,1884.0797,RPM,False,False,2024-07-20T22:16:30
SN127,M027,2.302,mm/s,False,False,2024-09-14T03:09:22
SN128,M028,745.746,RPM,False,False,2024-05-13T10:43:47
SN139,M039,77.8693,°C,False,False,2024-01-13T06:31:10
SN111,M011,27.2374,°C,False,False,2024-06-23T19:22:50
SN081,M031,48.9874,%,False,False,2024-01-14T23:22:06
SN009,M009,1879.3214,RPM,False,False,2024-10-29T16:22:16
SN078,M028,30.7514,%,False,False,2024-06-16T06:14:20
SN035,M035,18.4813,A,False,False,2024-10-23T17:05:59
SN029,M029,52.1313,%,False,False,2024-08-03T01:38:24
SN139,M039,48.9116,°C,False,False,2024-11-27T19:07:58
SN041,M041,43.7766,°C,False,False,2024-07-11T02:51:19
SN097,M047,16.7563,A,False,False,2024-04-20T11:09:00
SN083,M033,6.7313,mm/s,False,False,2024-02-19T18:53:33
SN094,M044,2114.8628,RPM,False,False,2024-01-11T10:43:28
SN088,M038,46.01,°C,False,False,2024-05-18T18:53:35
SN106,M006,6.6205,bar,False,False,2024-04-06T03:55:44
SN061,M011,58.8108,%,False,False,2024-12-19T13:26:26
SN017,M017,1.305,mm/s,False,False,2024-03-06T22:27:26
SN006,M006,106.5262,RPM,False,False,2024-09-12T10:50:24
SN109,M009,79.0423,%,False,False,2024-04-13T13:04:05
SN006,M006,1675.7693,RPM,False,False,2024-05-02T22:07:38
SN097,M047,15.315,A,False,False,2024-02-07T22:52:09
